Source,FactualReporting,BiasRating,MediaType,TrafficPopularity,MbfcCredibilityRating,Reasoning,Country,WorldPressFreedomRank,PageUrl
psychcentral.com,High,,,,,,USA,,https://mediabiasfactcheck.com/psych-central/
deadline.com,High,,,,,,USA,,https://mediabiasfactcheck.com/deadline-hollywood/
healthcarefinancenews.com,High,,,,,,,,https://mediabiasfactcheck.com/healthcare-finance-news/
theguardiansofdemocracy.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/guardians-of-democracy/
archaeology.org,High,,,,,,USA,,https://mediabiasfactcheck.com/archaeology-magazine/
brightside.me,Mixed,,,,,,Cyprus,,https://mediabiasfactcheck.com/brightside/
southendnewsnetwork.net,,,,,,,,,https://mediabiasfactcheck.com/southend-news-network/
courthousenews.com,High,,,,,,USA,,https://mediabiasfactcheck.com/courthouse-news-service/
redpolitics.us,Low,,,,,,,,https://mediabiasfactcheck.com/red-politics/
arktimes.com,High,,,,,,USA,,https://mediabiasfactcheck.com/arkansas-times/
newatlas.com,High,,,,,,,,https://mediabiasfactcheck.com/new-atlas/
chinapost.nownews.com/,MostlyFactual,,,,,,Taiwan,,https://mediabiasfactcheck.com/the-china-post/
india.com,,,,,,,,,https://mediabiasfactcheck.com/sources-pending/
fee.org,Mixed,RightCenter,OrganizationFoundation,MediumTraffic,MediumCredibility,,USA,45,https://mediabiasfactcheck.com/foundation-for-economic-education/
redyouth.org,Mixed,,,,,,,,https://mediabiasfactcheck.com/red-youth/
oneangrygamer.net,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/one-angry-gamer/
guardianlv.com,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/guardian-liberty-voice/
greenvillegazette.com,Low,,,,,,,,https://mediabiasfactcheck.com/greenville-gazette/
irrawaddy.com,High,,,,,,Thailand,,https://mediabiasfactcheck.com/the-irrawaddy/
thepoliticalinsider.com,Low,ExtremeRight,Website,MediumTraffic,LowCredibility,"Propaganda, Conspiracy, Lack of Transparency, Failed Fact Checks, Fake News",USA,45,https://mediabiasfactcheck.com/political-insider/
azfamily.com,High,,,,,,USA,,https://mediabiasfactcheck.com/azfamily-com/
renewamerica.com,Low,,,,,"Extreme Right, Propaganda, Conspiracy, Hate Group, Poor Sourcing",USA,,https://mediabiasfactcheck.com/renew-america/
thewire.in,MostlyFactual,,,,,,India,,https://mediabiasfactcheck.com/the-wire-india/
capoliticalreview.com,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/california-political-review/
aina.org,Mixed,,,,,,,,https://mediabiasfactcheck.com/assyrian-international-news-agency/
stocknewsusa.com,High,,,,,,,,https://mediabiasfactcheck.com/stock-news-usa/
modernliberals.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/modern-liberals/
merionwest.com,High,,,,,,USA,,https://mediabiasfactcheck.com/merion-west/
reuters.com,VeryHigh,LeastBiased,NewsAgency,HighTraffic,HighCredibility,,United Kingdom,35,https://mediabiasfactcheck.com/reuters/
cosmosmagazine.com,High,,,,,,,,https://mediabiasfactcheck.com/cosmos-magazine/
aol.com,High,LeftCenter,Website,HighTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/aol/
hanfordsentinel.com,High,,,,,,USA,,https://mediabiasfactcheck.com/hanford-sentinel-bias-rating/
aei.org,Mixed,Right,OrganizationFoundation,MediumTraffic,MediumCredibility,,USA,44,https://mediabiasfactcheck.com/american-enterprise-institute/
nap-sack.org,Mixed,,,,,,,,https://mediabiasfactcheck.com/nap-sack/
lawfareblog.com,VeryHigh,,,,,,USA,,https://mediabiasfactcheck.com/lawfare-blog/
10news.one,Low,,,,,"Extreme Right, Propaganda, Conspiracy, Anti-Islam, Lack of Transparency",USA,,https://mediabiasfactcheck.com/10news-one/
dailystormer.name,,,,,,"Extreme Right, Propaganda, Conspiracy, Hate Group",USA,,https://mediabiasfactcheck.com/daily-stormer/
fullfact.org,High,,,,,,United Kingdom,,https://mediabiasfactcheck.com/full-fact-uk/
standpointmag.co.uk,Mixed,,,,,,United Kingdom,,https://mediabiasfactcheck.com/standpoint-magazine/
rightwingnews.com,Low,,,,,"Extreme Right, Propaganda",USA,,https://mediabiasfactcheck.com/right-wing-news/
680news.com,High,LeastBiased,RadioStation,MediumTraffic,HighCredibility,,Canada,16,https://mediabiasfactcheck.com/680-news/
alphanewsmn.com,Low,FarRight,OrganizationFoundation,MinimalTraffic,LowCredibility,"Poor Sourcing, Conspiracy Theories, Anti-Islam, Lack of Transparency",USA,45,https://mediabiasfactcheck.com/alpha-news/
amtvmedia.com,Low,Right,Website,MinimalTraffic,LowCredibility,,USA,45,https://mediabiasfactcheck.com/alternative-media-television-amtv/
africanarguments.org,High,,,,,,,,https://mediabiasfactcheck.com/african-arguments/
breakingwide.com,Mixed,,,,,"Right Bias, Poor Sourcing, Lack of Transparency",Unknown,,https://mediabiasfactcheck.com/breaking-wide/
exposingtruth.com,High,,,,,,,,https://mediabiasfactcheck.com/exposing-the-truth/
summit.news,Low,ExtremeRight,Website,MediumTraffic,LowCredibility,"Conspiracies, Misleading/Unproven Information, Lack of Transparency",USA,45,https://mediabiasfactcheck.com/summit-news/
autostraddle.com,High,,,,,,,,https://mediabiasfactcheck.com/autostraddle/
elitedaily.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/elite-daily/
ktuu.com,High,,,,,,USA,,https://mediabiasfactcheck.com/ktuu-tv/
toptopic.club,Low,,,,,"Extreme Right, Poor Sourcing, Plagiarism, Lack of Transparency, Failed Fact Check",Unknown,,https://mediabiasfactcheck.com/top-topic/
meanlefthook.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/mean-left-hook/
americantoday.news,Low,,,,,,,,https://mediabiasfactcheck.com/american-today/
dailymaverick.co.za,High,,,,,,South Africa,,https://mediabiasfactcheck.com/daily-maverick/
ilgiornale.it,Mixed,,,,,,Italy,,https://mediabiasfactcheck.com/il-giornale/
medium.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/medium/
campusinsanity.com,VeryLow,,,,,,USA,,https://mediabiasfactcheck.com/campusinsanity-com/
sootoday.com,High,LeftCenter,Website,MediumTraffic,HighCredibility,,Canada,16,https://mediabiasfactcheck.com/sootoday-com/
dailymail.co.uk,Low,Right,Newspaper,HighTraffic,LowCredibility,"Right, Propaganda, Conspiracy, Some Fake News, Numerous Failed Fact Checks",United Kingdom,35,https://mediabiasfactcheck.com/daily-mail/
mayoclinic.org,High,,,,,,USA,,https://mediabiasfactcheck.com/mayo-clinic/
watchers.news,MostlyFactual,ProScience,Website,MediumTraffic,MediumCredibility,,United Kingdom,33,https://mediabiasfactcheck.com/the-watchers/
chinookobserver.com,High,,,,,,USA,,https://mediabiasfactcheck.com/chinook-observer/
techcrunch.com,High,,,,,,,,https://mediabiasfactcheck.com/techcrunch/
middleamericandemocrat.com,Mixed,,,,,"Extreme Left, Lack of Transparency, Failed Fact Check",USA,,https://mediabiasfactcheck.com/middle-american-democrat-bias-report/
asiancorrespondent.com,High,,,,,,United Kingdom,,https://mediabiasfactcheck.com/asian-correspondent/
factcheckingturkey.com,Mixed,,,,,"Right, State Propaganda",Turkey,,https://mediabiasfactcheck.com/fact-checking-turkey/
satiratribune.com,,,,,,,,,https://mediabiasfactcheck.com/satira-tribune/
pilotonline.com,High,LeftCenter,Newspaper,MediumTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/the-virginian-pilot/
avclub.com,High,,,,,,USA,,https://mediabiasfactcheck.com/av-club/
cpac.ca,High,,,,,,,,https://mediabiasfactcheck.com/canadian-public-affairs-channel-cpac/
goodgopher.com,,,,,,"Right, Conspiracy, Pseudoscience, Some Fake News",USA,,https://mediabiasfactcheck.com/goodgopher/
billingsgazette.com,High,RightCenter,Newspaper,MediumTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/billings-gazette/
buzzfeednews.com,MostlyFactual,LeftCenter,Website,HighTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/buzzfeed-news/
bostonreview.net,High,,,,,,USA,,https://mediabiasfactcheck.com/boston-review/
skeptics.com.au,High,,,,,,Australia,,https://mediabiasfactcheck.com/australian-skeptics-inc/
timesunion.com,High,,,,,,USA,,https://mediabiasfactcheck.com/albany-times-union/
aclu.org,Mixed,LeftCenter,OrganizationFoundation,MediumTraffic,MediumCredibility,,USA,45,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/
stillnessinthestorm.com/,Low,,,,,,USA,,https://mediabiasfactcheck.com/stillness-in-the-storm/
biggovernment.news,VeryLow,,,,,,USA,,https://mediabiasfactcheck.com/big-government-news/
christianaction.org,Low,,,,,,,,https://mediabiasfactcheck.com/christian-action-network/
myrightamerica.com,Low,,,,,"Extreme Right, Propaganda, Conspiracy, Lack of Transparency",Unknown,,https://mediabiasfactcheck.com/my-right-american/
kansaspolicy.org,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/kansas-policy-institute-kpi/
theolympian.com,High,,,,,,,,https://mediabiasfactcheck.com/the-olympian/
newsfeedhunter.com,Low,,,,,,,,https://mediabiasfactcheck.com/news-feed-hunter/
keepandbear.com,High,,,,,,USA,,https://mediabiasfactcheck.com/keep-and-bear/
psmag.com,High,,,,,,USA,,https://mediabiasfactcheck.com/pacific-standard-magazine/
conservativewoman.co.uk,Mixed,,,,,,United Kingdom,,https://mediabiasfactcheck.com/the-conservative-woman/
scienceillustrated.com.au,VeryHigh,,,,,,,,https://mediabiasfactcheck.com/science-illustrated/
acpeds.org,Low,,,,,"Far Right, Hate Group, Poor Sourcing, Pseudoscience",USA,,https://mediabiasfactcheck.com/american-college-of-pediatricians/
theoslotimes.com,High,,,,,,,,https://mediabiasfactcheck.com/the-oslo-times/
pacificresearch.org,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/pacific-research-institute/
martinlutherking.org,,,,,,"Extreme Right, Neo-Fascist, Propaganda, Conspiracy, Hate Group",USA,,https://mediabiasfactcheck.com/martinlutherking-org/
reagancoalition.com,Low,,,,,,,,https://mediabiasfactcheck.com/reagan-coalition/
thenevadaindependent.com,High,,,,,,USA,,https://mediabiasfactcheck.com/the-nevada-independent/
agerpres.ro,High,LeastBiased,NewsAgency,MediumTraffic,HighCredibility,,Romania,48,https://mediabiasfactcheck.com/agerpres/
americanlibertyreport.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/american-liberty-report/
creation.com,Low,,,,,,,,https://mediabiasfactcheck.com/christian-ministries-international/
calwatchdog.com,High,,,,,,,,https://mediabiasfactcheck.com/calwatchdog-com/
mwcnews.net,High,,,,,,Belize,,https://mediabiasfactcheck.com/mwc-news-media-conscience/
abovetopsecret.com,Low,Right,Website,MediumTraffic,LowCredibility,,USA,45,https://mediabiasfactcheck.com/above-top-secret/
denverpost.com,High,,,,,,USA,,https://mediabiasfactcheck.com/denver-post/
newsguardtech.com,High,,,,,,USA,,https://mediabiasfactcheck.com/newsguard/
newscorpse.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/news-corpse/
chroniclesofdemocracy.com,High,,,,,,,,https://mediabiasfactcheck.com/chronicles-of-democracy/
amplifyingglass.com,,,,,,,,,https://mediabiasfactcheck.com/amplifying-glass/
redorbit.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/redorbit/
beaware.one,Low,,,,,,,,https://mediabiasfactcheck.com/beaware/
globalvoices.org,High,,,,,,USA,,https://mediabiasfactcheck.com/global-voices/
firstdraftnews.org,High,,,,,,USA,,https://mediabiasfactcheck.com/first-draft-news/
bostonglobe.com,High,LeftCenter,Newspaper,HighTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/boston-globe/
skeptic.com,High,,,,,,USA,,https://mediabiasfactcheck.com/skeptic-magazine/
kff.org,High,LeastBiased,OrganizationFoundation,MediumTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/kaiser-family-foundation/
independent.co.uk,Mixed,LeftCenter,Newspaper,HighTraffic,MediumCredibility,,United Kingdom,35,https://mediabiasfactcheck.com/the-independent/
sustainablepulse.com,Low,,,,,,USA,,https://mediabiasfactcheck.com/sustainable-pulse/
reporterslab.org,VeryHigh,LeastBiased,Website,MinimalTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/reporters-lab/
dailytarheel.com,High,LeftCenter,Newspaper,MediumTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/the-daily-tarheel/
bradford-delong.com,High,,,,,,USA,,https://mediabiasfactcheck.com/grasping-reality-hands-bradford-delong/
mtstandard.com,High,,,,,,USA,,https://mediabiasfactcheck.com/montana-standard/
plos.org,High,,,,,,,,https://mediabiasfactcheck.com/public-library-science-plos/
dailypress.com,High,,,,,,USA,,https://mediabiasfactcheck.com/daily-press/
avoiceformen.com,Low,Right,Website,MinimalTraffic,LowCredibility,"Poor Sourcing, False Claims, Misinformation",USA,45,https://mediabiasfactcheck.com/a-voice-for-men/
iharare.com,Mixed,,,,,"Poor Sourcing, Sensationalism, Fake news, Failed Fact Checks",Zimbabwe,,https://mediabiasfactcheck.com/iharare/
journalstar.com,High,,,,,,USA,,https://mediabiasfactcheck.com/lincoln-journal-star/
bb4sp.com,Low,,,,,"Extreme Right, Propaganda, Conspiracy, Poor Sourcing, False Information",USA,,https://mediabiasfactcheck.com/bb4sp/
order-order.com,Mixed,,,,,,United Kingdom,,https://mediabiasfactcheck.com/guido-fawkes/
sanevax.org,Low,,,,,,,,https://mediabiasfactcheck.com/sanevax/
climatecentral.org,High,LeftCenter,Website,MediumTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/climate-central/
bitchmedia.org,High,Left,Magazine,MediumTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/bitch-media/
liberalamerica.life,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/liberal-america/
geopolitics.co,Mixed,LeftCenter,Website,MinimalTraffic,LowCredibility,,USA,45,https://mediabiasfactcheck.com/covert-geopolitics/
atlantablackstar.com,High,,,,,,,,https://mediabiasfactcheck.com/atlanta-black-star/
caixinglobal.com,Mixed,,,,,"Censorship, Propaganda",China,,https://mediabiasfactcheck.com/caixin-global/
conservativefighters.com,Low,,,,,,,,https://mediabiasfactcheck.com/conservative-fighters/
patriotsvoice.info,Low,,,,,,,,https://mediabiasfactcheck.com/patriots-voice/
journalgazette.net/,High,,,,,,USA,,https://mediabiasfactcheck.com/journal-gazette-times-courier/
scoperatings.com,MostlyFactual,,,,,,Germany,,https://mediabiasfactcheck.com/scope-ratings/
getcancerremedies.com,Low,,,,,,Pakistan,,https://mediabiasfactcheck.com/getcancerremedies-com/
thefloridasqueeze.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/the-florida-squeeze/
canadiandimension.com,MostlyFactual,,,,,,Canada,,https://mediabiasfactcheck.com/canadian-dimension/
cosmicintelligenceagency.com,Low,,,,,,,,https://mediabiasfactcheck.com/cosmic-intelligence-agency/
sunherald.com,High,,,,,,USA,,https://mediabiasfactcheck.com/biloxi-sun-herald/
mcall.com,High,,,,,,,,https://mediabiasfactcheck.com/the-morning-call/
insidephilanthropy.com,High,,,,,,USA,,https://mediabiasfactcheck.com/inside-philanthropy/
time.com,High,LeftCenter,Magazine,HighTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/time/
cnet.com,High,LeastBiased,Website,HighTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/cnet/
chlorellafactor.com,VeryLow,,,,,,USA,,https://mediabiasfactcheck.com/chlorellafactor-com/
onenewsnow.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/onenewsnow/
belfercenter.org,High,LeftCenter,OrganizationFoundation,MediumTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/the-belfer-center-for-science-and-international-affairs/
milliyet.com.tr,Mixed,,,,,,Turkey,,https://mediabiasfactcheck.com/milliyet/
berkshireeagle.com,High,,,,,,USA,,https://mediabiasfactcheck.com/berkshire-eagle/
westword.com/,High,,,,,,USA,,https://mediabiasfactcheck.com/denver-westword/
businesslive.co.za,Mixed,,,,,,South Africa,,https://mediabiasfactcheck.com/businesslive/
independent.ie,MostlyFactual,,,,,,Ireland,,https://mediabiasfactcheck.com/irish-independent/
guttmacher.org,High,,,,,,USA,,https://mediabiasfactcheck.com/alan-guttmacher-institute/
movingleft.com,Low,,,,,,,,https://mediabiasfactcheck.com/moving-left/
frontpagelive.com,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/front-page-live/
acculturated.com,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/acculturated/
newlypress.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/the-newly-press/
teenvogue.com,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/teen-vogue/
countercurrentnews.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/counter-current-news/
nationalvanguard.org,,,,,,,,,https://mediabiasfactcheck.com/national-vanguard/
israelislamandendtimes.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/israel-islam-end-times/
eurekalert.org,VeryHigh,,,,,,USA,,https://mediabiasfactcheck.com/eurekaalert/
ageofshitlords.com,Low,,,,,,,,https://mediabiasfactcheck.com/age-of-shitlords/
conservativebyte.com,Low,,,,,,,,https://mediabiasfactcheck.com/conservative-byte/
centerforinquiry.org,High,,,,,,USA,,https://mediabiasfactcheck.com/center-for-inquiry/
dailyrecord.com,High,LeastBiased,Newspaper,MediumTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/daily-record/
news.amomama.com,MostlyFactual,,,,,,Cyprus,,https://mediabiasfactcheck.com/amomama/
factbox.tv,High,,,,,,,,https://mediabiasfactcheck.com/factbox-tv/
amimagazine.org,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/ami-magazine/
syriana-analysis.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/syriana-analysis/
truthexam.com,Low,,,,,,,,https://mediabiasfactcheck.com/truth-examiner/
counterpropa.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/counter-propa/
towleroad.com,High,,,,,,USA,,https://mediabiasfactcheck.com/towleroad/
resourcewatch.org,High,,,,,,,,https://mediabiasfactcheck.com/resource-watch/
ivn.us,High,,,,,,USA,,https://mediabiasfactcheck.com/independent-voter-network-ivn/
dailystar.co.uk,Mixed,,,,,"Right-Center, Conspiracy Theories, Sensationalism, Fake News",United Kingdom,,https://mediabiasfactcheck.com/daily-star-uk/
powerlineblog.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/power-line/
americanprides.org,Low,,,,,,,,https://mediabiasfactcheck.com/american-prides/
clarionledger.com,High,,,,,,USA,,https://mediabiasfactcheck.com/clarion-ledger/
albertaviews.ca,High,,,,,,Canada,,https://mediabiasfactcheck.com/alberta-views-bias/
twitchy.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/twitchy/
aim.org,Mixed,Right,OrganizationFoundation,MinimalTraffic,LowCredibility,,USA,45,https://mediabiasfactcheck.com/accuracy-in-media-aim/
rudaw.net,Mixed,,,,,"Lack of Transparency, Pro-Government Propaganda",Iraq,,https://mediabiasfactcheck.com/rudaw/
awdnews.com,Low,,,,,,,,https://mediabiasfactcheck.com/adw-news/
asiannews.it,Mixed,,,,,,Italy,,https://mediabiasfactcheck.com/asiannews-it/
lgbtqnation.com,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/lgbtq-nation/
usafortrumponline.com,Low,,,,,"Extreme Right, Propaganda, Conspiracy, Fake News",Macedonia,,https://mediabiasfactcheck.com/flex-mag/
jns.org,High,,,,,,USA,,https://mediabiasfactcheck.com/jewish-news-syndicate-jns/
consumerreports.org,High,,,,,,USA,,https://mediabiasfactcheck.com/consumer-reports/
zdf.de,High,,,,,,,,https://mediabiasfactcheck.com/zdf-zweites-deutsches-fernsehen/
beingliberal.org,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/being-liberal/
chicagoreader.com,High,,,,,,USA,,https://mediabiasfactcheck.com/chicago-reader/
people.com,High,,,,,,USA,,https://mediabiasfactcheck.com/people-magazine/
americantruthtoday.com,Low,,,,,"Extreme Right, Propaganda, Poor Sourcing, Lack of Transparency",USA,,https://mediabiasfactcheck.com/american-truth-today/
fashthenation.com/,,,,,,"Extreme Right, Conspiracy, Propaganda, Poor sourcing, promotion of Hate",USA,,https://mediabiasfactcheck.com/fash-the-nation/
clickhole.com,,,,,,,USA,,https://mediabiasfactcheck.com/clickhole/
defendevropa.org,Low,,,,,,,,https://mediabiasfactcheck.com/defend-europa/
reaganwasright.com,,,,,,,,,https://mediabiasfactcheck.com/reagan-was-right/
crusaderjournal.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/the-crusader-journal/
truthfeednews.com,Low,,,,,,,,https://mediabiasfactcheck.com/truthfeed/
cair.com,Mixed,,,,,"Poor Sourcing, Questionable Funding, Pseudoscience",USA,,https://mediabiasfactcheck.com/council-on-american-islamic-relations-cair/
newmatilda.com,High,,,,,,Australia,,https://mediabiasfactcheck.com/new-matilda/
channelnewsasia.com,High,,,,,,Singapore,,https://mediabiasfactcheck.com/channel-news-asia-cna/
libertyhangout.org,Low,,,,,,USA,,https://mediabiasfactcheck.com/liberty-hangout/
realmofhistory.com,High,,,,,,,,https://mediabiasfactcheck.com/realm-of-history/
mediaite.com,MostlyFactual,Left,Website,HighTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/mediaite/
glamour.com,High,LeftCenter,Website,HighTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/glamour-magazine/
aim4truth.org,Mixed,,,,,,,,https://mediabiasfactcheck.com/american-intelligence-media/
cato.org/regulation,High,,,,,,USA,,https://mediabiasfactcheck.com/regulation-magazine/
mackinac.org,MostlyFactual,,,,,,USA,,https://mediabiasfactcheck.com/mackinac-center-for-public-policy/
